time,value
2023-08-28T00:46:41.709Z,90
2023-08-28T00:46:45.74Z,91
2023-08-28T00:46:47.786Z,90
2023-08-28T00:46:51.772Z,91
2023-08-28T00:46:53.797Z,90
2023-08-28T00:46:55.8Z,91
2023-08-28T00:46:57.816Z,90
2023-08-28T00:47:01.847Z,97
2023-08-28T00:47:03.859Z,90
2023-08-28T00:47:13.93Z,97
2023-08-28T00:47:15.948Z,90
2023-08-28T00:47:32.055Z,91
2023-08-28T00:47:34.072Z,90
2023-08-28T00:47:36.088Z,91
2023-08-28T00:47:40.114Z,90
2023-08-28T00:47:44.173Z,97
2023-08-28T00:47:46.154Z,90
2023-08-28T00:47:48.168Z,91
2023-08-28T00:47:50.184Z,90
2023-08-28T00:48:16.363Z,91
2023-08-28T00:48:18.379Z,90
2023-08-28T00:48:42.548Z,91
2023-08-28T00:48:44.561Z,95
2023-08-28T00:48:46.57Z,90
2023-08-28T00:48:56.641Z,89
2023-08-28T00:49:12.756Z,90
2023-08-28T00:49:14.772Z,95
2023-08-28T00:49:18.803Z,89
2023-08-28T00:49:28.861Z,94
2023-08-28T00:49:30.872Z,89
2023-08-28T00:49:36.913Z,87
2023-08-28T00:49:38.933Z,89
2023-08-28T00:49:57.054Z,90
2023-08-28T00:49:59.071Z,89
2023-08-28T00:50:05.117Z,94
2023-08-28T00:50:07.127Z,89
2023-08-28T00:50:55.447Z,88
2023-08-28T00:50:57.463Z,89
2023-08-28T00:51:07.538Z,88
2023-08-28T00:51:09.551Z,89
2023-08-28T00:51:17.602Z,88
2023-08-28T00:51:19.624Z,89
2023-08-28T00:51:25.662Z,88
2023-08-28T00:51:29.688Z,89
2023-08-28T00:51:31.698Z,88
2023-08-28T00:51:39.749Z,89
2023-08-28T00:51:41.767Z,88
2023-08-28T00:51:43.788Z,89
2023-08-28T00:51:45.797Z,88
2023-08-28T00:52:38.153Z,89
2023-08-28T00:52:40.169Z,88
2023-08-28T00:52:52.257Z,93
2023-08-28T00:52:54.295Z,88
2023-08-28T00:52:56.279Z,94
2023-08-28T00:52:58.298Z,88
2023-08-28T00:53:00.304Z,91
2023-08-28T00:53:02.327Z,88
2023-08-28T00:53:16.43Z,93
2023-08-28T00:53:18.439Z,88
2023-08-28T00:53:26.496Z,87
2023-08-28T00:53:28.506Z,88
2023-08-28T00:53:36.569Z,87
2023-08-28T00:53:42.613Z,88
2023-08-28T00:53:44.676Z,87
2023-08-28T00:53:48.644Z,88
2023-08-28T00:53:50.665Z,87
2023-08-28T00:53:52.673Z,88
2023-08-28T00:53:54.692Z,87
2023-08-28T00:54:06.763Z,88
2023-08-28T00:54:08.784Z,87
2023-08-28T00:54:28.913Z,93
2023-08-28T00:54:30.924Z,87
2023-08-28T00:54:43.009Z,92
2023-08-28T00:54:45.027Z,87
2023-08-28T00:54:51.074Z,92
2023-08-28T00:54:53.083Z,87
2023-08-28T00:55:13.225Z,86
2023-08-28T00:55:15.261Z,87
2023-08-28T00:55:21.285Z,88
2023-08-28T00:55:23.292Z,87
2023-08-28T00:55:25.307Z,86
2023-08-28T00:55:27.327Z,87
2023-08-28T00:55:43.436Z,93
2023-08-28T00:55:45.459Z,92
2023-08-28T00:55:47.479Z,87
2023-08-28T00:55:49.469Z,86
2023-08-28T00:55:55.52Z,92
2023-08-28T00:55:57.534Z,86
2023-08-28T00:56:01.57Z,87
2023-08-28T00:56:03.566Z,86
2023-08-28T00:56:05.587Z,87
2023-08-28T00:56:07.604Z,86
2023-08-28T00:56:37.799Z,89
2023-08-28T00:56:39.823Z,86
2023-08-28T00:57:18.084Z,92
2023-08-28T00:57:20.105Z,86
2023-08-28T00:57:44.272Z,85
2023-08-28T00:57:46.283Z,86
2023-08-28T00:57:48.306Z,91
2023-08-28T00:57:50.309Z,87
2023-08-28T00:57:52.331Z,86
2023-08-28T00:57:54.344Z,88
2023-08-28T00:57:56.358Z,86
2023-08-28T00:58:00.421Z,89
2023-08-28T00:58:02.398Z,86
2023-08-28T00:58:04.413Z,85
2023-08-28T00:58:12.521Z,86
2023-08-28T00:58:14.479Z,85
2023-08-28T00:58:18.52Z,91
2023-08-28T00:58:20.581Z,85
2023-08-28T00:58:24.61Z,90
2023-08-28T00:58:26.598Z,86
2023-08-28T00:58:28.577Z,85
2023-08-28T00:58:30.592Z,89
2023-08-28T00:58:32.608Z,85
2023-08-28T00:58:34.648Z,86
2023-08-28T00:58:36.632Z,85
2023-08-28T00:58:54.762Z,87
2023-08-28T00:58:56.763Z,85
2023-08-28T00:59:12.888Z,88
2023-08-28T00:59:14.899Z,85
2023-08-28T01:00:09.269Z,84
2023-08-28T01:00:13.288Z,85
2023-08-28T01:00:17.328Z,84
2023-08-28T01:00:19.335Z,85
2023-08-28T01:00:25.401Z,84
2023-08-28T01:00:37.457Z,85
2023-08-28T01:00:39.468Z,84
2023-08-28T01:00:43.502Z,85
2023-08-28T01:00:45.516Z,89
2023-08-28T01:00:47.531Z,84
2023-08-28T01:01:11.692Z,89
2023-08-28T01:01:13.707Z,84
